issuer,description,type,sale_date,amount,tax_status
"California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-1 (Arbor View Apartments)","California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-1 (Arbor View Apartments)",,"wk of September 7, 2026 (day-to-day)","17,445,000",Tax Exempt
"California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-1 (Colorado Crest Apartments)","California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-1 (Colorado Crest Apartments)",,"wk of September 7, 2026 (day-to-day)","13,250,000",Tax Exempt
"California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-2 (Taxable) (Arbor View Apartments)","California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-2 (Taxable) (Arbor View Apartments)",,"wk of September 7, 2026 (day-to-day)","19,000,000",Taxable
"California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-2 (Taxable) (Colorado Crest Apartments)","California Municipal Finance Authority Multifamily Housing Revenue Bonds, 2026 Series A-2 (Taxable) (Colorado Crest Apartments)",,"wk of September 7, 2026 (day-to-day)","22,400,000",Taxable
"California Municipal Finance Authority Multifamily Housing Revenue Bonds, Senior Credit Enhanced 2026 Series A (Diamond Park Apartments)","California Municipal Finance Authority Multifamily Housing Revenue Bonds, Senior Credit Enhanced 2026 Series A (Diamond Park Apartments)",,"wk of September 7, 2026 (day-to-day)","59,150,000",Tax Exempt
California Statewide Communities Development Authority,California Statewide Communities Development Authority,,"wk of September 7, 2026 (day-to-day)","28,070,000",Tax Exempt
California Statewide Communities Development Authority,California Statewide Communities Development Authority,,"wk of September 7, 2026 (day-to-day)","4,340,000",Taxable
Castro Valley Unified School District 2026 General Obligation Refunding Bonds,Castro Valley Unified School District 2026 General Obligation Refunding Bonds,,"wk of September 7, 2026 (day-to-day)","20,625,000",Tax Exempt
"Eastern Municipal Water District Refunding Water and Wastewater Revenue Bonds, Series 2026A","Eastern Municipal Water District Refunding Water and Wastewater Revenue Bonds, Series 2026A",,"wk of September 7, 2026 (day-to-day)","234,280,000",Tax Exempt
"La Canada Unified School District Election of 2026 General Obligation Bonds, Series A","La Canada Unified School District Election of 2026 General Obligation Bonds, Series A",,"wk of September 7, 2026 (day-to-day)","27,000,000",Tax Exempt
"Mountain House Financing Authority Special Tax Revenue Bonds, Series 2026B","Mountain House Financing Authority Special Tax Revenue Bonds, Series 2026B",,"wk of September 7, 2026 (day-to-day)","10,180,000",Tax Exempt
Solvang Elementary School District 2026 General Obligation Refunding Bonds,Solvang Elementary School District 2026 General Obligation Refunding Bonds,,"wk of September 7, 2026 (day-to-day)","3,735,000",Tax Exempt
"California Infrastructure and Economic Development Bank Refunding Revenue Bonds, Series 2026A (The J. Paul Getty Trust)","California Infrastructure and Economic Development Bank Refunding Revenue Bonds, Series 2026A (The J. Paul Getty Trust)",,"wk of September 14, 2026 (day-to-day)","270,000,000",Tax Exempt
"Lake Tahoe Community College District 2026 General Obligation Bonds, Election of 2014, Series D","Lake Tahoe Community College District 2026 General Obligation Bonds, Election of 2014, Series D",,"wk of September 14, 2026 (day-to-day)","7,000,000",Tax Exempt
