cusip,issuer,county,coupon,maturity,px,ytw,tey_aftertax,demin_breach,ai_insulation,fire_score,fire_tail,fire_worst_tract,seismic_ss,fault_zone,hazard_tier,credit_score,cert_status,n365,two_sided_days,uw_verdict,in_book
000416V38,ABC Unified,Los Angeles,3.0,2036-08-01,94.681,0.03595,0.068,True,99.2,11.8,0.0,Very Low,1.78,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),39,4,REVIEW,False
000416V53,ABC Unified,Los Angeles,3.0,2038-08-01,88.962,0.03981,0.0739,True,99.2,11.8,0.0,Very Low,1.78,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),57,3,REVIEW,False
010824LZ1,Alameda Unified,Alameda,3.0,2036-08-01,93.728,0.0375,0.0698,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),35,4,REVIEW,False
010824LZ1 010824MA5 010824MB3 010824MD9 01112CCR5 032591TU3 084154C68 084154C76 142665GR3 142665GT9 142665GV4 26362VKS6 26362VMK1 26362VRW0 26362VRX8 271014D33 275282MQ1 275282MR9 357155AJ9 357155AM2 357172F34 399262LZ5 399262MA9 399262MD3 417123FR2 417123GM2 59266TMA6 604617AY6 672325J24 672325ZG5 677765EM7 680799EE9 68881TBH9 728835C98 728835E88 728835F46 7973558C1 797356BU5 797508GS1 797508JL3 797508JM1 797683HC6 79771TNP8 798492PN8 798492QA5 799017SW9 799017WT1 801495W40 801495W65 801495W73 801495Z39 801495Z47 817409H32 9523473H3 9523473K6 9523473L4 9523474G4 9523474H2 9523474K5 9523476G2 9523476K3 979585BP0 979585BZ8 988176HR7,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
010824LZ1 010824MA5 010824MB3 010824MD9 01112CCR5 032591TU3 084154C68 084154C76 142665GR3 142665GT9 142665GV4 26362VKS6 26362VMK1 26362VRW0 26362VRX8 275282MQ1 275282MR9 357155AJ9 357155AM2 357172F34 399262LZ5 399262MA9 399262MD3 672325J24 672325ZG5 728835C98 728835E88 728835F46 7973558C1 797356BU5 797508GS1 797508JL3 797508JM1 797683HC6 79771TNP8 798492PN8 798492QA5 799017SW9 799017WT1 801495W40 801495W65 801495W73 801495Z39 801495Z47 817409H32 9523473H3 9523473K6 9523473L4 9523474G4 9523474H2 9523474K5 9523476G2 9523476K3,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
010824MA5,Alameda Unified,Alameda,3.0,2037-08-01,90.87,0.04019999999999999,0.0735,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),24,5,REVIEW,False
010824MB3,Alameda Unified,Alameda,3.0,2038-08-01,90.115,0.04025,0.0739,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),15,2,REVIEW,False
010824MD9,Alameda Unified,Alameda,3.0,2042-08-01,86.179,0.04644,0.0816,True,99.2,22.9,0.0,Very Low,1.77,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),14,1,REVIEW,False
01112CCR5,essential-service water/wastewater revenue,,3.0,2039-06-01,93.393,0.03634,0.0688,True,,,,,,,UNZONED,,N/A-REVENUE,35,7,CLEAR,False
01112CCR5 050002AW4 055047BJ2 13050TBA5 218385BT8 21931DAX9 271014D33 271014D58 271014D66 27677SCN1 49228YAV0 49228YAX6 587616CP6 587619BF3 59266TMA6 607767AV2 671890AV3 675413DE5 680799EE9 68442CBH8 68881TBH9 69674TCB0 69674TCP9 769076VE7 799016FM7 802199AJ8 80234TBP0 835577LC9 835577LE5 84247PMB4 84251KAX3 870441DF6 899124LL3 899124LN9 919259CP4 956409AW6 979585BP0 979585BZ8,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
01112CCR5 13050TBA5 21931DAX9 271014D33 27677SCN1 59266TMA6 671890AV3 675413DE5 680799EE9 68881TBH9 802199AJ8 835577LC9 835577LE5 919259CP4 956409AW6 979585BP0 979585BZ8,,,,,,,,,99.2,,,,,,UNZONED,88,UNRESOLVED,,,FLAG,False
012104QQ1,Albany City Unified,Alameda,3.0,2045-08-01,77.2,0.04836,0.0876,True,99.2,21.5,0.0,Very Low,2.4,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),53,1,REVIEW,True
021321LS1,Alta Loma Elementary,San Bernardino,4.0,2045-08-01,99.862,0.03971,0.0798,False,99.2,54.4,0.403,Very High,1.95,INLAND EMPIRE (San Andreas S / San Jacinto),HIGH,90,UNRESOLVED-AMBIG,203,7,FLAG,False
032555NK6,Anaheim Elementary,Orange,3.0,2046-08-01,78.837,0.04627,0.0847,True,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),327,35,REVIEW,False
032555PH1,Anaheim Elementary,Orange,4.0,2039-08-01,100.172,0.03848,0.0773,False,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,24,1,FLAG,False
032555PK4,Anaheim Elementary,Orange,4.0,2041-08-01,99.973,0.03494,0.0702,False,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,13,2,FLAG,False
032555PL2,Anaheim Elementary,Orange,4.0,2042-08-01,99.751,0.04059,0.0816,False,99.2,2.4,0.0,Very Low,1.67,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,UNRESOLVED-AMBIG,71,5,FLAG,False
032591SV2,Anaheim Union High,Orange,4.0,2042-08-01,99.52,0.04032,0.081,False,99.2,10.0,0.0,Relatively Low,1.71,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),83,6,REVIEW,False
032591TR0,Anaheim Union High,Orange,3.0,2038-08-01,90.243,0.0369,0.0705,True,99.2,10.0,0.0,Relatively Low,1.71,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),21,3,REVIEW,False
032591TU3,Anaheim Union High,Orange,3.0,2041-08-01,83.41,0.04505,0.0814,True,99.2,10.0,0.0,Relatively Low,1.71,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),70,3,REVIEW,False
037105JT1,Antioch Unified,Contra Costa,4.0,2038-08-01,99.348,0.04019999999999999,0.0808,False,99.2,40.8,0.036,Relatively High,1.82,BAY (San Andreas N / Hayward),HIGH,90,NEGATIVE,37,2,FLAG,False
037105KT9,Antioch Unified,Contra Costa,4.0,2044-08-01,99.75,0.040839999999999994,0.0821,False,99.2,40.8,0.036,Relatively High,1.82,BAY (San Andreas N / Hayward),HIGH,90,POSITIVE(absent),175,23,REVIEW,False
039069JG5,Arcadia Unified,Los Angeles,2.0,2037-08-01,78.945,0.04399,0.0696,True,99.2,29.6,0.181,Very High,2.18,LA BASIN (San Andreas S / Newport-Inglewood / Puente Hills),HIGH,90,POSITIVE(absent),20,7,REVIEW,False
050002AW4,Atwater Elementary,Merced,5.0,2040-05-01,100.888,0.03972,0.0798,False,100.0,82.9,0.048,Relatively High,0.7,CENTRAL VALLEY / SIERRA (low),LOW,90,N/A-REVENUE,65,5,FLAG,True
055047BJ2,"City of Azusa — Water System Refunding Revenue Bonds, Series 2015 — WATER REVENUE",,4.0,2039-07-01,99.92,0.04008,0.0806,,,,,,,,UNZONED,,N/A-REVENUE,60,6,CLEAR,False
057507LA1,Bakersfield City,Kern,4.0,2042-11-01,98.01,0.04059,0.0816,False,99.2,34.2,0.114,Very High,1.08,CENTRAL VALLEY / SIERRA (low),LOW,90,POSITIVE(absent),87,13,REVIEW,False
