cusip        cr cert                  SS county          conf  district
800851PV3    90 POSITIVE(absent)    0.64 Fresno          1.08  Sanger Unified
511005AX8    90 NOT-COVERED-CC     -1.00 ?               0.73  LAKE TAHOE CCD-SER A
843257HX7    90 POSITIVE(absent)    1.25 Kern            0.92  Southern Kern Unified
551800HW8    90 POSITIVE(absent)    1.95 Los Angeles     1.08  Lynwood Unified
263597SC1    90 POSITIVE(absent)    2.02 Los Angeles     0.98  Duarte Unified
057507LA1    90 POSITIVE(absent)    1.08 Kern            0.89  Bakersfield City
435650EB8    90 POSITIVE(absent)    2.65 San Benito      1.08  Hollister
952347U75    90 POSITIVE(absent)    2.15 Contra Costa    1.02  West Contra Costa Unified
353856Q75    84 QUALIFIED           1.55 Santa Clara     1.08  Franklin-McKinley Elementary
835631NR9    84 QUALIFIED           2.12 Sonoma          1.00  Sonoma Valley Unified
