ticker,quarter,employer,status,visa,title,soc,wage_annual,wage_level,state,positions
IBM,FY2025_Q4,IBM Corporation,Withdrawn,H-1B,Technical Lead,Computer Systems Analysts,127234,III,NY,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Manager JC50 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,117582,III,NJ,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Packaged App Development Assoc Manager,Computer Programmers,128600,III,TX,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Manager JC45 - Computer Systems Engineers/Architects,Computer Systems Engineers/Architects,119184,IV,OH,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Senior Associate JC60 - Database Administrators,Database Administrators,95035,II,TX,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Engineering Project Lead 2,"Electronics Engineers, Except Computer",134181,III,TX,1
ACN,FY2025_Q4,Accenture LLP,Certified,H-1B,Full Stack LLM Development Specialist,Computer Programmers,118700,II,MO,1
CAP,FY2025_Q4,Capgemini America Inc,Certified,H-1B,Project Manager 2,Information Technology Project Managers,113000,II,GA,1
TCS,FY2025_Q4,Tata Consultancy Services Limited,Certified,H-1B,Database Administrator,Database Administrators,82118,II,OH,1
HCLTECH,FY2025_Q4,HCL GLOBAL SYSTEMS INC,Certified,H-1B,SOFTWARE ENGINEER (SNOWFLAKE),Computer Systems Engineers/Architects,86445,II,GA,1
INFY,FY2025_Q4,INFOSYS LIMITED,Certified,H-1B,Process Consultant 2,Management Analysts,101816,II,NJ,5
TCS,FY2025_Q4,TATA CONSULTANCY SERVICES LIMITED,Certified,H-1B,Architect,Computer Systems Engineers/Architects,86403,II,CA,1
CTSH,FY2025_Q4,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,Certified,H-1B,Mgr. JC50 - Software Quality Assurance Analysts and Testers,Software Quality Assurance Analysts and Testers,102669,III,NC,1
CAP,FY2025_Q4,CAPGEMINI AMERICA INC,Certified,H-1B,Business Systems Analyst 2,Computer Systems Analysts,103917,II,NJ,1
HCLTECH,FY2025_Q4,HCL GLOBAL SYSTEMS INC,Certified,H-1B,SOFTWARE ENGINEER (SNOWFLAKE),Computer Systems Engineers/Architects,86445,II,GA,1
